team_id,team_name
team_e896c23a76a2b8_19cce5487d3,Palo Alto
team_ab8902ec0e3cb8_19cce6ee4c6,Palo Alto
team_12990369165de_19cce97823a,Palo Alto
team_c95b9010d6ace_19cceba2cd1,Palo Alto
team_1e7a441bf2d538_19cce35175f,Quarry Lane A
team_9a979ae7b5c45_19cce4f3dc8,Quarry Lane A
team_466bd1f0b651a_19cce6c137b,Quarry Lane A
team_576fb85e3e037_19cce90b06d,Quarry Lane A
team_58ea7afa594e5_19cceb582ef,Quarry Lane A
team_140a72fc6d786_19cce365692,Quarry Lane B
team_895a9f6c65a4e_19cce576247,Quarry Lane B
team_6345d1f2d56bc8_19cce7ef76a,Quarry Lane B
team_a10b048c567e48_19cce9eb87d,Quarry Lane B
team_69a8953c9f594_19cceb55dac,Quarry Lane B
team_a6dd29a097b1e8_19cce365692,San Mateo
team_71b6800a646c78_19cce551d2c,San Mateo
team_8c7146ac0116a_19cce78cd52,San Mateo
team_791e6c79ed2b08_19cce9eeb81,San Mateo
team_7040fd40007ea8_19ccec2f31f,San Mateo
team_fbdbb57a65e068_19ccf12a5cf,Saratoga
team_9b09142c7ac63_19ccf429e9e,Saratoga
team_2995a1fcb928e_19cce2c7a86,Saratoga
team_82913d40d947b8_19cce5a1ec9,Saratoga
team_e7c84f9d70ba18_19cce7ef76a,Saratoga
team_6eb5306f2e36a_19ccea1bfa8,Saratoga
team_22709fc9d4c08_19ccec2f31f,Saratoga
team_fbcd3638594178_19cce2a403f,Stanford Online
team_cc7d561b6f8a2_19cce4a3536,Stanford Online
team_0f18252ff93fa8_19cce73aebe,Stanford Online
team_7988a9ea09df98_19cce970cbc,Stanford Online
team_cec84145cbfa88_19cceaf4593,Stanford Online
